"";"Orden_Pregunta";"nombre_preg_cuestionario";"dimension";"n_pregunta";"nombre_preg";"nombre_preg_codigo";"categorías_respuesta";"puntaje_pregunta";"reglas"
"11";11;"11- ¿Tienen documentados los proyectos de ciencia de datos?";"Ciencia de datos";"p11_";"documen_proy_cie_dat";"p11_documen_proy_cie_dat";"1- Si
2- No
99- No sabe";"0,8";"p11_documen_proy_cie_dat==1  = 0.8,
p11_documen_proy_cie_dat==2 | p11_documen_proy_cie_dat==99  = 0"
"12";12;"12- ¿Tienen reportes?
Si responden opción 2 o 99 pasa a preguntas de la siguiente dimensión (Disponibilización)";"Actualidad de Reportes/productos";"p12_";"tien_report";"p12_tien_report";"1- Si
2- No
99- No sabe";"2,5";"p12_tien_report==1  = 2.5,
p12_tien_report==2 | p12_tien_report==99  = 0"
"13";13;"13- ¿Con qué frecuencia actualizan los reportes?";"Actualidad de Reportes/productos";"p13_";"act_report";"p13_act_report";"1- En forma permanente 
2- Varias veces al día 
3- Algunas veces al mes
4- Nunca
99- No sabe";"1,5";"p13_act_report==1 | p13_act_report==2  = 1.5,
p13_act_report==3 = 1,
p13_act_report==4 | p13_act_report==99 = 0,"
"14";14;"14- ¿Cuál es la forma de actualización de los reportes?";"Actualidad de Reportes/productos";"p14_";"forma_act_report";"p14_forma_act_report";"1- De forma manual 
2- De forma automatizada
3- Ninguna
99- No sabe";"1";"p14_forma_act_report==1 = 0.6,
p14_forma_act_report==2 = 1,
p14_forma_act_report==3 | p14forma_act_report==99 = 0,"
"15";15;"15- ¿Los datos están disponibles para las áreas que los requieran?
Si responden opción 2 o 99 pasa a preguntas de la siguiente dimensión (Protección de datos)";"Disponibilización";"p15_";"disp_dat";"p15_disp_dat";"1- Están disponibles para áreas internas
2- Están disponibles para áreas externas
3- Están disponibles para áreas internas y externas
4- No están disponibles
99- No sabe";"2,5";"p15_disp_dat==1 | p15_disp_dat==2  = 1.5,
p15_disp_dat==3 = 2,5,
p15_disp_dat==4 | p15_disp_dat==99 = 0,"
"16";16;"16- ¿Los datos se pueden leer usando alguno de los formatos estándares abiertos? 
Los formatos más comunes y estándar para la lectura de datos abiertos son JSON, CSV, XML y RDF. Sin embargo, depende de cada caso de uso para decidir qué formato es el mejor para su necesidad.";"Disponibilización";"p16_";"lect_dat_stand";"p16_lect_dat_stand";"1- Todos los datos se pueden leer en alguno/s de los formatos antes mencionados
2- Algunos de los datos se pueden leer en alguno/s de los formatos antes mencionados
3- Ninguno de los datos se pueden leer en alguno de los formatos antes mencionados
99- No sabe";"1,5";"p16_lect_dat_stand==1 = 1.5,
p16_lect_dat_stand==2 = 1,
p16_lect_dat_stand==3 | p16_lect_dat_stand==99 = 0,"
"17";17;"17- ¿Tienen APIS desarrolladas para que usuarios externos puedan acceder a los datos?";"Disponibilización";"p17_";"api_dat";"p17_api_dat";"1- Si
2- No
99- No sabe";"1";"p17_api_dat==1  = 1,
p17_api_dat==2 | p17_api_dat==99  = 0"
"18";18;"18- ¿Conoce la normativa para la protección de datos personales?";"Protección de datos";"p18_";"norm_prot_dat";"p18_norm_prot_dat";"1- Si Conozco la de CABA y la de Nación
2- Conozco solo la de CABA 
3- Conozco solo la de NACIÓN
4- No conozco ninguna
99- No sabe";"1";"p18_norm_prot_dat==1 = 1,
p18_norm_prot_dat==2 | p18_norm_prot_dat==3 = 0.5,
p18_norm_prot_dat==4 | p18_norm_prot_dat==99  = 0,"
"19";19;"19- ¿Está definido por cuánto tiempo se deben guardar los datos el sistema? ";"Protección de datos";"p19_";"tiemp_dat";"p19_tiemp_dat";"1- Si
2- No
99- No sabe";"1";"p19_tiemp_dat==1  = 1,
p19_tiemp_dat==2 | p19_tiemp_dat==99  = 0"
"20";20;"20- ¿Tienen clasificados los datos sensibles?";"Protección de datos";"p20_";"clasif_dat_sens";"p20_clasif_dat_sens";"1- Si
2- No
99- No sabe";"0,8";"p20_clasif_dat_sens==1  = 0.8,
p20_clasif_dat_sens==2 | p20_clasif_dat_sens==99  = 0"
"21";21;"21- ¿Los datos sensibles son recogidos con consentimiento?";"Protección de datos";"p21_";"dat_sens_consent";"p21_dat_sens_consent";"1- Si
2- No
99- No sabe";"1";"p21_dat_sens_consent==1  = 1,
p21_dat_sens_consent==2 | p21_dat_sens_consent==99  = 0"
"22";22;"22- ¿Existe un mecanismo de minimización o destrucción periódica de los datos? ";"Protección de datos";"p22_";"destr_minim_dat";"p22_destr_minim_dat";"1- Si
2- No
99- No sabe";"0,4";"p22_destr_minim_dat==1  = 0.4,
p22_destr_minim_dat==2 | p22_destr_minim_dat==99  = 0"
"23";23;"23- ¿Se generan espacios de dialogos /comites para hablar sobre diferentes temas o evacuar dudas sobre politicas de datos?";"Protección de datos";"p23_";"espac_disc_prot_dat";"p23_espac_disc_prot_dat";"1- Si
2- No
99- No sabe";"0,4";"p23_espac_disc_prot_dat==1  = 0.4,
p23_espac_disc_prot_dat==2 | p23_espac_disc_prot_dat==99  = 0"
"24";24;"24- ¿Tienen lineamientos de protección de datos definidos?";"Protección de datos";"p24_";"lineam_pro_dat";"p24_lineam_pro_dat";"1- Si
2- No
99- No sabe";"0,4";"p24_lineam_pro_dat==1  = 0.4,
p24_lineam_pro_dat==2 | p24_lineam_pro_dat==99  = 0"
"25";25;"25- ¿Tienen relevados roles respecto a los datos?
";"Gobernanza de datos";"p25_";"roles_dat";"p25_roles_dat";"1- Si
2- No 
99- No sabe";"1,5";"p25_roles_dat==1  = 1.5,
p25_roles_dat==2 | p25_roles_dat==99  = 0"
"26";26;"26- ¿Existen políticas sobre quién puede utilizar los datos, cómo pueden usarlos, qué partes pueden usar y con qué propósitos?
";"Gobernanza de datos";"p26_";"polit_uso_dat";"p26_polit_uso_dat";"1- Si
2- No 
99- No sabe";"1,5";"p26_polit_uso_dat==1  = 1.5,
p26_polit_uso_dat==2 | p26_polit_uso_dat==99  = 0"
"27";27;"27- ¿Tienen documentadas las etapas del ciclo de vida de los datos?
";"Gobernanza de datos";"p27_";"documen_cic_v_dat";"p27_documen_cic_v_dat";"1- Si
2- No 
99- No sabe";"1";"p27_documen_cic_v_dat==1  = 1,
p27_documen_cic_v_dat==2 | p27_documen_cic_v_dat==99  = 0"
"28";28;"28- ¿Realizan capacitaciones para el personal en gobernanza de datos (clasificación, roles)?";"Gobernanza de datos";"p28_";"capac_pers_gobern_dat";"p28_capac_pers_gobern_dat";"1- Si
2- No 
99- No sabe";"1";"p28_capac_pers_gobern_dat==1  = 1,
p28_capac_pers_gobern_dat==2 | p28_capac_pers_gobern_dat==99  = 0"
"29";29;"29- ¿Tiene reportes de acceso a los datos?
Si responden opción 2 o 99 pasa a preguntas de la siguiente dimensión (Calidad de los datos)";"Gestión de acceso a datos";"p29_";"report_acc_dat";"p29_report_acc_dat";"1- Si
2- No
99- No sabe";"3";"p29_report_acc_dat==1  = 3,
p29_report_acc_dat==2 | p29_report_acc_dat==99  = 0"
"30";30;"30- ¿Tienen implementado algún sistema de acceso a la información?";"Gestión de acceso a datos";"p30_";"sist_acc_info";"p30_sist_acc_info";"1- Si
2- No
99- No sabe";"2";"p30_sist_acc_info==1  = 2,
p30_sist_acc_info==2 | p30_sist_acc_info==99  = 0"
"31";31;"31- ¿Realizan controles de revisión de la calidad de los datos con cierta periodicidad?";"Calidad de los datos";"p31_";"revis_cal_dat";"p31_revis_cal_dat";"1- En forma permanente y regular
2- Algunas veces al mes
3- No se hacen controles
99- No sabe";"1,5";"p31_revis_cal_dat==1 = 1.5,
p31_revis_cal_dat==2 = 0.5,
p31_revis_cal_dat==3 | p31_revis_cal_dat==99  = 0"
"32";32;"32- ¿Qué métricas de calidad analizan esos controles?
Pregunta de respuesta múltiple.";"Calidad de los datos";"p32_";"metr_cal_dat";"p32_metr_cal_dat";"1- Exactitud
2- Completitud
3- Csonsitencia
4- Actualidad
5- Credibilidad
6- Pertinencia
7- Valor agregado
8- Otros
9- Ninguno
99- No sabe";"1,5";"sums <- rowSums(misdatos[, c(""p32.1"", ""p32.2"", ""p32.3"", ""p32.4"", ""p32.5"",""p32.6"",""p32.7"")])

misdatos_puntajes <- misdatos %>% 
  mutate(puntaje_p32=case_when(p32.8==1 | p32.99==1 ~ 0
                      sums==1 ~ 0.7, 
                      sums==2 ~ 0.8,
                      sums==3 ~ 0.9,
                      sums==4 ~ 1,
                      sums==5 ~ 1.2,
                      sums==6 ~ 1.3,
                      sums==6 ~ 1.5,
                      TRUE ~ 0))  "
"33";33;"33- ¿Tienen procesos y procedimientos documentados que analicen el grado de cumplimiento de las métricas de calidad definidas?";"Calidad de los datos";"p33_";"proc_cal_dat";"p33_proc_cal_dat";"1- Si
2- No
99- No sabe";"1";"p33_proc_cal_dat==1  = 1,
p33_proc_cal_dat==2 | p33_proc_cal_dat==99  = 0"
"34";34;"34- ¿Tienen perfiles profesionales/técnicos dedicados a evaluar con una periodicidad conocida métricas de calidad?";"Calidad de los datos";"p34_";"per_espec_cal_dat";"p34_per_espec_cal_dat";"1- Si
2- No
99- No sabe";"1";"p34_per_espec_cal_dat==1  = 1,
p34_per_espec_cal_dat==2 | p34_per_espec_cal_dat==99  = 0"
"35";35;"35- ¿Se intercambian datos? ";"Reutilización de datos";"p35_";"interc_dat";"p35_interc_dat";"1- Con áreas internas de la organización
2- Con usuarios externos a la organización
3- Con áreas internas y con usuarios externos a la organización
4- No se intercambian datos
99- No sabe";"2";"p35_interc_dat==1 | p35_interc_dat==2 = 1,
p35_interc_dat==3 = 2,
p35_interc_dat==4 | p35_interc_dat==99  = 0,"
"36";36;"36- ¿Tienen definidos mecanismos para que las personas de la orgnización compartan los datos con un propósito determinado?";"Reutilización de datos";"p36_";"mecan_prop_comp_dat";"p36_mecan_prop_comp_dat";"1- Si
2- No
99- No sabe";"2";"p36_mecan_prop_comp_dat==1  = 2
p36_mecan_prop_comp_dat==2 | p36_mecan_prop_comp_dat==99  = 0"
"37";37;"37- ¿Tienen perfiles profesionales/técnicos especializados en el tema?";"Reutilización de datos";"p37_";"pers_espec_reut_dat";"p37_pers_espec_reut_dat";"1- Si
2- No
99- No sabe";"1";"p37_pers_espec_reut_dat==1  = 1
p37_pers_espec_reut_dat==2 | p37_pers_espec_reut_dat==99  = 0"
"38";38;"38- ¿Tienen definido un modelo de datos?
Si responden opción 2 o 99 finalizó el relevamiento";"Modelo de datos";"p38_";"model_dat";"p38_model_dat";"1- Si
2- No
99- No sabe";"1,5";"p38_model_dat==1  = 1.5
p38_model_dat==2 | p38_model_dat==99  = 0"
"39";39;"39- ¿Qué tan bien documentados están los datos? ";"Modelo de datos";"p39_";"grad_documen_dat";"p39_grad_documen_dat";"1- Existen datos pero no hay documentación de descripciones o variables codificadas.
2- Existe un diccionario de datos (con variables y categorías definidas).
3- Existe un diccionario de datos, que incluye metadatos y las condiciones en las que se capturaron los datos.
4- Existe un diccionario de datos que incluye metadatos y supuestos realizados en la recolección, qué datos no se recolectaron y potenciales sesgos.
5- Nada documentados
99- No sabe";"1,4";"p39_grad_documen_dat==1 = 0.9,
p39_grad_documen_dat==2 = 1.2,
p39_grad_documen_dat==3 | p39_grad_documen_dat==4  = 1.4
p39_grad_documen_dat==5 | p39_grad_documen_dat==99  = 0
"
"40";40;"40- ¿Tienen documentación del modelo de datos que defina...
Pregunta de respuesta múltiple.";"Modelo de datos";"p40_";"documen_mod_dat";"p40_documen_mod_dat";"1- Flujos de datos
2- Que datos se necesitan 
3- Cómo serán adquiridos
4- Cómo serán gestionados 
5- Cómo serán almacenados 
6- Cómo serán distribuidos 
7- Cómo serán utilizados
8- No tienen documentación
99- No sabe";"1,3";"sums <- rowSums(misdatos[, c(""p40.1"", ""p40.2"", ""p40.3"", ""p40.4"", ""p40.5"",""p40.6"",""p40.7"")])

misdatos_puntajes <- misdatos %>% 
  mutate(puntaje_p40=case_when(p40.8==1 | p40.99==1 = 0,
                      sums==1 = 0.6, 
                      sums==2 = 0.7,
                      sums==3 = 0.8,
                      sums==4 = 0.9,
                      sums==5 = 1,
                      sums==6 = 1.2,
                      sums==6 = 1.3,
                      TRUE = 0))  "
"41";41;"41- ¿Tienen personas trabajando que se especialicen en el tema?";"Modelo de datos";"p41_";"pers_espec_model_dat";"p41_pers_espec_model_dat";"1- Si
2- No
99- No sabe";"0,8";"p41_pers_espec_model_dat==1  = 0.8
p41_pers_espec_model_dat==2 | p41_pers_espec_model_dat==99  = 0"
