"";"condicion_minus";"condicion_final_3"
"53";"si p11 = 1 & p12 = 1 & p12 = 2 & p12 = 3 = 1,2 ";"si p11_apli_tec_ciencia_dat == 1 & p12_cuales_tecn_cd == 1 & p12_cuales_tecn_cd == 2 & p12_cuales_tecn_cd == 3 = 1,2 "
"54";"si p11 = 1 & p12 = 1 & p12 = 2 & p12 = 4 = 1,2";"si p11_apli_tec_ciencia_dat == 1 & p12_cuales_tecn_cd == 1 & p12_cuales_tecn_cd == 2 & p12_cuales_tecn_cd == 4 = 1,2"
"55";"si p11 = 1 & p12 = 2 & p12 = 3 & p12 = 4 = 1,2";"si p11_apli_tec_ciencia_dat == 1 & p12_cuales_tecn_cd == 2 & p12_cuales_tecn_cd == 3 & p12_cuales_tecn_cd == 4 = 1,2"
"56";"si p11 = 1 & p12 = 4 & p12 = 3 & p12 = 1 =1,2 ";"si p11_apli_tec_ciencia_dat == 1 & p12_cuales_tecn_cd == 4 & p12_cuales_tecn_cd == 3 & p12_cuales_tecn_cd == 1 =1,2 "
"57";"si p11 = 1 & p12 = 6 = 0,6";"si p11_apli_tec_ciencia_dat == 1 & p12_cuales_tecn_cd == 6 = 0,6"
"58";"si p11 = 2 = 0";"si p11_apli_tec_ciencia_dat == 2 = 0"
"59";"si p11 = 3 = 0";"si p11_apli_tec_ciencia_dat == 3 = 0"
"60";"si p11 = 4 = no aplica";"si p11_apli_tec_ciencia_dat == 4 = 0"
"61";"habría que ver que hacemos con el otros.";"habría que ver que hacemos con el otros.=habría que ver que hacemos con el otros."
"62";"si p12 = 1 y p13 = 6 deberíamos generar un mensaje, ya que sería incoherente aplicar técnicas de ciencia de datos y reponder ninguna";"si p12_cuales_tecn_cd == 1 y p13_proc_automat = 6 deberíamos generar un mensaje, ya que sería incoherente aplicar técnicas de ciencia de datos y reponder ninguna"
"63";"si p13 = 1 & p14 = 1 o 2 = 1,2";"si p13_proc_automat == 1 & p14_frec_aplic == 1 o 2 = 1,2"
"64";"si p13 = 1 & p14 = 3 o 4 = 0,9";"si p13_proc_automat == 1 & p14_frec_aplic == 3 o 4 = 0,9"
"65";"si p13 = 1 & p14 = 5 = 0,6";"si p13_proc_automat == 1 & p14_frec_aplic == 5 = 0,6"
"66";"si p13 = 1 & p14 = 6 = 0";"si p13_proc_automat == 1 & p14_frec_aplic == 6 = 0"
"67";"si p13 = 2 = 0";"si p13_proc_automat == 2 = 0"
"68";"si p13 = 3 = 0";"si p13_proc_automat == 3 = 0"
"69";"si p13 = 4 = no aplica";"si p13_proc_automat == 4 = 0"
"70";"habría que ver que hacemos con el otros. si p13=1 y p14=6 deberíamos generar un mensaje ya que sería incoherente tener procesos automatizados y no aplicarlos nunca.";"habría que ver que hacemos con el otros. si p13_proc_automat==1 y p14_frec_aplic=6 deberíamos generar un mensaje ya que sería incoherente tener procesos automatizados y 0rlos nunca."
"71";"si p15 = 1 o 2 = 1";"si p15_documen_proy_cd == 1 o 2 = 1"
"72";"si p15 = 3 = 0,6";"si p15_documen_proy_cd == 3 = 0,6"
"73";"si p15 = 4 = 0";"si p15_documen_proy_cd == 4 = 0"
"74";"si p15 = 5 = no aplica";"si p15_documen_proy_cd == 5 = 0"
"75";"si p16 = 1 & p17 = 1 o p17 = 2 o p17 = 3 = 1,5";"si p16_tien_report == 1 & p17_act_report == 1 o p17_act_report == 2 o p17_act_report == 3 = 1,5"
"76";"si p16 = 1 & p17 = 4 = 1,2";"si p16_tien_report == 1 & p17_act_report == 4 = 1,2"
"77";"si p16 = 1 & p17 = 5 = 0,8";"si p16_tien_report == 1 & p17_act_report == 5 = 0,8"
"78";"si p16 = 1 & p17 = 6 o p17 = 7 o p17 = 8 = 0,5";"si p16_tien_report == 1 & p17_act_report == 6 o p17_act_report == 7 o p17_act_report == 8 = 0,5"
"79";"si p16 = 2 = 0";"si p16_tien_report == 2 = 0"
"80";"si p16 = 3 = 0";"si p16_tien_report == 3 = 0"
"81";"si p16 = 4 = no aplica";"si p16_tien_report == 4 = 0"
"82";"habría que ver que hacemos con el otras razones.";"habría que ver que hacemos con el otras razones.=habría que ver que hacemos con el otras razones."
"83";"si p9 = 2 y p16 = 1 deberíamos generar un mensaje, ya que sería incoherente aplicar técnicas de ciencia de datos y tener reportes y que en esta pregunta digan que no tienen reportes.";"si p9_report_dat == 2 y p16_tien_report = 1 deberíamos generar un mensaje, ya que sería incoherente aplicar técnicas de ciencia de datos y tener reportes y que en esta pregunta digan que no tienen reportes."
"84";"si p16 = 1 & p18 = 1 = 0,9";"si p16_tien_report == 1 & p18_forma_act_report == 1 = 0,9"
"85";"si p16 = 1 & p18 = 2 = 1,2";"si p16_tien_report == 1 & p18_forma_act_report == 2 = 1,2"
"86";"si p16 = 1 & p18 = 1 & 2 = 1,2";"si p16_tien_report == 1 & p18_forma_act_report == 1 & 2 = 1,2"
"87";"si p16 = 1 & p18 = 3 = 0,9";"si p16_tien_report == 1 & p18_forma_act_report == 3 = 0,9"
"88";"si p16 = 1 & p19 = 1 = 1,2";"si p16_tien_report == 1 & p19_satisf_usu_report == 1 = 1,2"
"89";"si p16 = 1 & p19 = 2 = 0";"si p16_tien_report == 1 & p19_satisf_usu_report == 2 = 0"
"90";"si p16 = 1 & p19 = 3 = 0";"si p16_tien_report == 1 & p19_satisf_usu_report == 3 = 0"
"91";"si p16 = 1 & p19 = 4 = no aplica";"si p16_tien_report == 1 & p19_satisf_usu_report == 4 = 0"
"92";"si p19 = 1 & p20 = 1 = 1,1";"si p19_satisf_usu_report == 1 & p20_modif_report == 1 = 1,1"
"93";"si p19 = 1 & p20 = 2 = 0";"si p19_satisf_usu_report == 1 & p20_modif_report == 2 = 0"
"94";"si p19 = 1 & p20 = 3 = 0";"si p19_satisf_usu_report == 1 & p20_modif_report == 3 = 0"
"95";"si p19 = 1 & p20 = 4 = no aplica";"si p19_satisf_usu_report == 1 & p20_modif_report == 4 = 0"
"96";"si p21 = 1 o p21 = 2 = 1";"si p21_disp_dat == 1 o p21_disp_dat == 2 = 1"
"97";"si p21 = 3 = 0,6";"si p21_disp_dat == 3 = 0,6"
"98";"si p21 = 4 = 0";"si p21_disp_dat == 4 = 0"
"99";"si p22 = 5 = no aplica";"si p22_frec_disp_dat == 5 = 0"
"100";"si p22 = 1 o p22 = 2 = 1";"si p22_frec_disp_dat == 1 o p22_frec_disp_dat == 2 = 1"
"101";"si p22 = 3 o p22 = 4 = 0,7";"si p22_frec_disp_dat == 3 o p22_frec_disp_dat == 4 = 0,7"
"102";"si p22 = 5 = 0,4";"si p22_frec_disp_dat == 5 = 0,4"
"103";"si p22 = 6 = 0";"si p22_frec_disp_dat == 6 = 0"
"104";"si p22 = 7 = no aplica";"si p22_frec_disp_dat == 7 = 0"
"105";"si p23 = 1 = 1";"si p23_lect_dat_stand == 1 = 1"
"106";"si p23 = 2 = 0,7";"si p23_lect_dat_stand == 2 = 0,7"
"107";"si p23 = 3 = 0";"si p23_lect_dat_stand == 3 = 0"
"108";"si p23 = 4 = no aplica";"si p23_lect_dat_stand == 4 = 0"
"109";"si p24 = 1 = 1";"si p24_api_dat == 1 = 1"
"110";"si p24 = 2 = 0";"si p24_api_dat == 2 = 0"
"111";"si p24 = 3 = 0";"si p24_api_dat == 3 = 0"
"112";"si p24 = 4 = no aplica";"si p24_api_dat == 4 = 0"
"113";"si p25 = 1 o p25 = 2 = 1";"si p25_leng_adec == 1 o p25_leng_adec == 2 = 1"
"114";"si p25 = 3 o p25 = 4 = 0,7";"si p25_leng_adec == 3 o p25_leng_adec == 4 = 0,7"
"115";"si p25 = 5 = 0,4";"si p25_leng_adec == 5 = 0,4"
"116";"si p25 = 6 = 0";"si p25_leng_adec == 6 = 0"
"117";"si p25 = 7 = no aplica";"si p25_leng_adec == 7 = 0"
"118";"si p26 = 1 o p26 = 2 = 1";"si p26_norm_prot_dat == 1 o p26_norm_prot_dat == 2 = 1"
"119";"si p26 = 3 = 0,7";"si p26_norm_prot_dat == 3 = 0,7"
"120";"si p26 = 4 = 0";"si p26_norm_prot_dat == 4 = 0"
"121";"si p26 = 5 = no aplica";"si p26_norm_prot_dat == 5 = 0"
"122";"si p27 = 1 o p27 = 2 = 0,7";"si p27_tiemp_dat == 1 o p27_tiemp_dat == 2 = 0,7"
"123";"si p27 = 3 = 0,4";"si p27_tiemp_dat == 3 = 0,4"
