"";"nombre_pregunta";"codigos_categorias_2";"codigo";"categoria"
"32";"p8_apli_tec_ciencia_dat";"99- No sabe";99;"No sabe"
"33";"p9_herra_vis_dat";"1- Si";1;"Si"
"34";"p9_herra_vis_dat";"2- No";2;"No"
"35";"p9_herra_vis_dat";"3- No aplica porque no está dentro de las tareas hacer ciencia de datos";3;"No aplica porque no está dentro de las tareas hacer ciencia de datos"
"36";"p9_herra_vis_dat";"99- No sabe";99;"No sabe"
"37";"p10_apli_pred";"1- Si";1;"Si"
"38";"p10_apli_pred";"2- No";2;"No"
"39";"p10_apli_pred";"3- No aplica porque no está dentro de las tareas del área aplicar estas técnicas";3;"No aplica porque no está dentro de las tareas del área aplicar estas técnicas"
"40";"p10_apli_pred";"99- No sabe";99;"No sabe"
"41";"p11_documen_proy_cie_dat";"1- Si";1;"Si"
"42";"p11_documen_proy_cie_dat";"2- No";2;"No"
"43";"p11_documen_proy_cie_dat";"3- No aplica porque no está dentro de las tareas del área aplicar estas técnicas";3;"No aplica porque no está dentro de las tareas del área aplicar estas técnicas"
"44";"p11_documen_proy_cie_dat";"99- No sabe";99;"No sabe"
"45";"p12_tien_report";"1- Si";1;"Si"
"46";"p12_tien_report";"2- No";2;"No"
"47";"p12_tien_report";"3- No aplica porque no está dentro de las tareas del área hacer reportes sobre los datos";3;"No aplica porque no está dentro de las tareas del área hacer reportes sobre los datos"
"48";"p12_tien_report";"99- No sabe";99;"No sabe"
"49";"p13_act_report";"1- En forma permanente";1;"En forma permanente"
"50";"p13_act_report";"2- Varias veces al día";2;"Varias veces al día"
"51";"p13_act_report";"3- Algunas veces al mes";3;"Algunas veces al mes"
"52";"p13_act_report";"4- Nunca";4;"Nunca"
"53";"p13_act_report";"99- No sabe";99;"No sabe"
"54";"p14_forma_act_report";"1- De forma manual";1;"De forma manual"
"55";"p14_forma_act_report";"2- De forma automatizada";2;"De forma automatizada"
"56";"p14_forma_act_report";"3- Ninguna";3;"Ninguna"
"57";"p14_forma_act_report";"99- No sabe";99;"No sabe"
"58";"p15_disp_dat";"1- Están disponibles para áreas internas";1;"Están disponibles para áreas internas"
"59";"p15_disp_dat";"2- Están disponibles para áreas externas";2;"Están disponibles para áreas externas"
"60";"p15_disp_dat";"3- Están disponibles para áreas internas y externas";3;"Están disponibles para áreas internas y externas"
"61";"p15_disp_dat";"4- No están disponibles";4;"No están disponibles"
"62";"p15_disp_dat";"99- No sabe";99;"No sabe"
"63";"p16_lect_dat_stand";"1- Todos los datos se pueden leer en alguno/s de los formatos antes mencionados";1;"Todos los datos se pueden leer en alguno/s de los formatos antes mencionados"
"64";"p16_lect_dat_stand";"2- Algunos de los datos se pueden leer en alguno/s de los formatos antes mencionados";2;"Algunos de los datos se pueden leer en alguno/s de los formatos antes mencionados"
"65";"p16_lect_dat_stand";"3- Ninguno de los datos se pueden leer en alguno de los formatos antes mencionados";3;"Ninguno de los datos se pueden leer en alguno de los formatos antes mencionados"
"66";"p16_lect_dat_stand";"4- No aplica porque no está dentro de las tareas del área publicar y/o abrir datos";4;"No aplica porque no está dentro de las tareas del área publicar y/o abrir datos"
"67";"p16_lect_dat_stand";"99- No sabe";99;"No sabe"
"68";"p17_api_dat";"1- Si";1;"Si"
"69";"p17_api_dat";"2- No";2;"No"
"70";"p17_api_dat";"3- No aplica porque no está dentro de las tareas del área publicar y/o abrir datos";3;"No aplica porque no está dentro de las tareas del área publicar y/o abrir datos"
"71";"p17_api_dat";"99- No sabe";99;"No sabe"
"72";"p18_norm_prot_dat";"1- Si Conozco la de CABA y la de Nación";1;"Si Conozco la de CABA y la de Nación"
"73";"p18_norm_prot_dat";"2- Conozco solo la de CABA";2;"Conozco solo la de CABA"
"74";"p18_norm_prot_dat";"3- Conozco solo la de NACIÓN";3;"Conozco solo la de Nación"
"75";"p18_norm_prot_dat";"4- No conozco ninguna";4;"No conozco ninguna"
"76";"p18_norm_prot_dat";"99- No sabe";99;"No sabe"
"77";"p19_tiemp_dat";"1- Si";1;"Si"
"78";"p19_tiemp_dat";"2- No";2;"No"
"79";"p19_tiemp_dat";"3- No aplica porque no está dentro de las tareas del área definir políticas de protección de datos";3;"No aplica porque no está dentro de las tareas del área definir políticas de protección de datos"
"80";"p19_tiemp_dat";"99- No sabe";99;"No sabe"
"81";"p20_clasif_dat_sens";"1- Si";1;"Si"
"82";"p20_clasif_dat_sens";"2- No";2;"No"
"83";"p20_clasif_dat_sens";"3- No aplica porque no está dentro de las tareas del área definir políticas de protección de datos ni recolectar datos sensibles";3;"No aplica porque no está dentro de las tareas del área definir políticas de protección de datos ni recolectar datos sensibles"
"84";"p20_clasif_dat_sens";"99- No sabe";99;"No sabe"
"85";"p21_dat_sens_consent";"1- Si";1;"Si"
"86";"p21_dat_sens_consent";"2- No";2;"No"
"87";"p21_dat_sens_consent";"3- No aplica porque no está dentro de las tareas del área definir políticas de protección de datos ni recolectar datos sensibles";3;"No aplica porque no está dentro de las tareas del área definir políticas de protección de datos ni recolectar datos sensibles"
"88";"p21_dat_sens_consent";"99- No sabe";99;"No sabe"
"89";"p22_destr_minim_dat";"1- Si";1;"Si"
"90";"p22_destr_minim_dat";"2- No";2;"No"
"91";"p22_destr_minim_dat";"3- No aplica porque no está dentro de las tareas del área la destrucción de los datos";3;"No aplica porque no está dentro de las tareas del área la destrucción de los datos"
"92";"p22_destr_minim_dat";"99- No sabe";99;"No sabe"
"93";"p23_espac_disc_prot_dat";"1- Si";1;"Si"
"94";"p23_espac_disc_prot_dat";"2- No";2;"No"
"95";"p23_espac_disc_prot_dat";"3- No aplica porque no está dentro de las tareas del área definir las políticas de datos";3;"No aplica porque no está dentro de las tareas del área definir las políticas de datos"
"96";"p23_espac_disc_prot_dat";"99- No sabe";99;"No sabe"
"97";"p24_lineam_pro_dat";"1- Si";1;"Si"
"98";"p24_lineam_pro_dat";"2- No";2;"No"
"99";"p24_lineam_pro_dat";"3- No aplica porque no está dentro de las tareas del área definir las políticas de datos";3;"No aplica porque no está dentro de las tareas del área definir las políticas de datos"
"100";"p24_lineam_pro_dat";"99- No sabe";99;"No sabe"
"101";"p25_roles_dat";"1- Si";1;"Si"
"102";"p25_roles_dat";"2- No";2;"No"
"103";"p25_roles_dat";"3- No aplica porque no está dentro de las tareas del área definir roles en relación a los datos";3;"No aplica porque no está dentro de las tareas del área definir roles en relación a los datos"
"104";"p25_roles_dat";"99- No sabe";99;"No sabe"
"105";"p26_polit_uso_dat";"1- Si";1;"Si"
"106";"p26_polit_uso_dat";"2- No";2;"No"
"107";"p26_polit_uso_dat";"3- No aplica porque no está dentro de las tareas del área definir las políticas sobre el uso de los datos";3;"No aplica porque no está dentro de las tareas del área definir las políticas sobre el uso de los datos"
"108";"p26_polit_uso_dat";"99- No sabe";99;"No sabe"
"109";"p27_documen_cic_v_dat";"1- Si";1;"Si"
"110";"p27_documen_cic_v_dat";"2- No";2;"No"
"111";"p27_documen_cic_v_dat";"3- No aplica porque no está dentro de las tareas del área documentar procesos en relación al ciclo de vida de los datos";3;"No aplica porque no está dentro de las tareas del área documentar procesos en relación al ciclo de vida de los datos"
"112";"p27_documen_cic_v_dat";"99- No sabe";99;"No sabe"
"113";"p28_capac_pers_gobern_dat";"1- Si";1;"Si"
"114";"p28_capac_pers_gobern_dat";"2- No";2;"No"
"115";"p28_capac_pers_gobern_dat";"3- No aplica porque no está dentro de las tareas del área definir lineamientos en gobernanza de datos";3;"No aplica porque no está dentro de las tareas del área definir lineamientos en gobernanza de datos"
"116";"p28_capac_pers_gobern_dat";"99- No sabe";99;"No sabe"
"117";"p29_report_acc_dat";"1- Si";1;"Si"
"118";"p29_report_acc_dat";"2- No";2;"No"
"119";"p29_report_acc_dat";"99- No sabe";99;"No sabe"
"120";"p30_sist_acc_info";"1- Si";1;"Si"
"121";"p30_sist_acc_info";"2- No";2;"No"
"122";"p30_sist_acc_info";"99- No sabe";99;"No sabe"
"123";"p31_revis_cal_dat";"1- En forma permanente y regular";1;"En forma permanente y regular"
"124";"p31_revis_cal_dat";"2- Algunas veces al mes";2;"Algunas veces al mes"
"125";"p31_revis_cal_dat";"3- No se hacen controles";3;"No se hacen controles"
"126";"p31_revis_cal_dat";"4- No aplica porque no está dentro de las tareas hacer seguimiento sobre la calidad de los datos";4;"No aplica porque no está dentro de las tareas hacer seguimiento sobre la calidad de los datos"
"127";"p31_revis_cal_dat";"99- No sabe";99;"No sabe"
"128";"p32_metr_cal_dat";"1- Exactitud";1;"Exactitud"
"129";"p32_metr_cal_dat";"2- Completitud";2;"Completitud"
"130";"p32_metr_cal_dat";"3- Csonsitencia";3;"Csonsitencia"
"131";"p32_metr_cal_dat";"4- Actualidad";4;"Actualidad"
"132";"p32_metr_cal_dat";"5- Credibilidad";5;"Credibilidad"
"133";"p32_metr_cal_dat";"6- Pertinencia";6;"Pertinencia"
"134";"p32_metr_cal_dat";"7- Valor agregado";7;"Valor agregado"
"135";"p32_metr_cal_dat";"8- Otros";8;"Otros"
"136";"p32_metr_cal_dat";"9- Ninguno";9;"Ninguno"
"137";"p32_metr_cal_dat";"99- No sabe";99;"No sabe"
"138";"p33_proc_cal_dat";"1- Si";1;"Si"
"139";"p33_proc_cal_dat";"2- No";2;"No"
"140";"p33_proc_cal_dat";"3- No";3;"No aplica porque no está dentro de las tareas hacer seguimiento sobre la calidad de los datos"
"141";"p33_proc_cal_dat";"99- No sabe";99;"No sabe"
"142";"p34_per_espec_cal_dat";"1- Si";1;"Si"
"143";"p34_per_espec_cal_dat";"2- No";2;"No"
"144";"p34_per_espec_cal_dat";"3- No aplica porque no está dentro de las tareas hacer seguimiento sobre la calidad de los datos";3;"No aplica porque no está dentro de las tareas hacer seguimiento sobre la calidad de los datos"
"145";"p34_per_espec_cal_dat";"99- No sabe";99;"No sabe"
"146";"p35_interc_dat";"1- Con áreas internas de la organización";1;"Con áreas internas de la organización"
"147";"p35_interc_dat";"2- Con usuarios externos a la organización";2;"Con usuarios externos a la organización"
"148";"p35_interc_dat";"3- Con áreas internas y con usuarios externos a la organización";3;"Con áreas internas y con usuarios externos a la organización"
"149";"p35_interc_dat";"4- No se intercambian datos";4;"No se intercambian datos"
"150";"p35_interc_dat";"5- No aplica porque no está dentro de las tareas definir políticas de intercambio de datos";5;"No aplica porque no está dentro de las tareas definir políticas de intercambio de datos"
"151";"p35_interc_dat";"99- No sabe";99;"No sabe"
"152";"p36_mecan_prop_comp_dat";"1- Si";1;"Si"
"153";"p36_mecan_prop_comp_dat";"2- No";2;"No"
"154";"p36_mecan_prop_comp_dat";"3- No aplica porque no está dentro de las tareas definir políticas de intercambio de datos";3;"No aplica porque no está dentro de las tareas definir políticas de intercambio de datos"
"155";"p36_mecan_prop_comp_dat";"99- No sabe";99;"No sabe"
"156";"p37_pers_espec_reut_dat";"1- Si";1;"Si"
"157";"p37_pers_espec_reut_dat";"2- No";2;"No"
"158";"p37_pers_espec_reut_dat";"3- No aplica porque no está dentro de las tareas definir políticas de intercambio de datos";3;"No aplica porque no está dentro de las tareas definir políticas de intercambio de datos"
"159";"p37_pers_espec_reut_dat";"99- No sabe";99;"No sabe"
"160";"p38_model_dat";"1- Si";1;"Si"
"161";"p38_model_dat";"2- No";2;"No"
"162";"p38_model_dat";"3- No";3;"No aplica porque no está dentro de las tareas definir el modelado de los datos"
"163";"p38_model_dat";"99- No sabe";99;"No sabe"
"164";"p39_grad_documen_dat";"1- Existen datos pero no hay documentación de descripciones o variables codificadas";1;"Existen datos pero no hay documentación de descripciones o variables codificadas"
"165";"p39_grad_documen_dat";"2- Existe un diccionario de datos (con variables y categorías definidas)";2;"Existe un diccionario de datos (con variables y categorías definidas)"
"166";"p39_grad_documen_dat";"3- Existe un diccionario de datos, que incluye metadatos y las condiciones en las que se capturaron los datos";3;"Existe un diccionario de datos, que incluye metadatos y las condiciones en las que se capturaron los datos"
"167";"p39_grad_documen_dat";"4- Existe un diccionario de datos que incluye metadatos y supuestos realizados en la recolección, qué datos no se recolectaron y potenciales sesgos";4;"Existe un diccionario de datos que incluye metadatos y supuestos realizados en la recolección, qué datos no se recolectaron y potenciales sesgos"
"168";"p39_grad_documen_dat";"5- Nada documentados";5;"Nada documentados"
"169";"p39_grad_documen_dat";"6- No aplica porque no está dentro de las tareas definir el modelado de los datos";6;"No aplica porque no está dentro de las tareas definir el modelado de los datos"
"170";"p39_grad_documen_dat";"99- No sabe";99;"No sabe"
"171";"p40_documen_mod_dat";"1- Flujos de datos";1;"Flujos de datos"
"172";"p40_documen_mod_dat";"2- Que datos se necesitan";2;"Que datos se necesitan"
"173";"p40_documen_mod_dat";"3- Cómo serán adquiridos";3;"Cómo serán adquiridos"
"174";"p40_documen_mod_dat";"4- Cómo serán gestionados";4;"Cómo serán gestionados"
"175";"p40_documen_mod_dat";"5- Cómo serán almacenados";5;"Cómo serán almacenados"
"176";"p40_documen_mod_dat";"6- Cómo serán distribuidos";6;"Cómo serán distribuidos"
"177";"p40_documen_mod_dat";"7- Cómo serán utilizados";7;"Cómo serán utilizados"
"178";"p40_documen_mod_dat";"8- No tienen documentación";8;"No tienen documentación"
"179";"p40_documen_mod_dat";"9- No aplica porque no está dentro de las tareas definir el modelado de los datos";9;"No aplica porque no está dentro de las tareas definir el modelado de los datos"
"180";"p40_documen_mod_dat";"99- No sabe";99;"No sabe"
"181";"p41_pers_espec_model_dat";"1- Si";1;"Si"
"182";"p41_pers_espec_model_dat";"2- No";2;"No"
"183";"p41_pers_espec_model_dat";"3- No aplica porque no está dentro de las tareas definir el modelado de los datos";3;"No aplica porque no está dentro de las tareas definir el modelado de los datos"
"184";"p41_pers_espec_model_dat";"99- No sabe";99;"No sabe"
