"";"nombre_pregunta";"codigos_categorias_2";"codigo";"categoria"
"42";"p13_act_report";"99=No sabe";99;"No sabe"
"43";"p14_forma_act_report";"1=De forma manual";1;"De forma manual"
"44";"p14_forma_act_report";"2=De forma automatizada";2;"De forma automatizada"
"45";"p14_forma_act_report";"3=Ninguna";3;"Ninguna"
"46";"p14_forma_act_report";"99=No sabe";99;"No sabe"
"47";"p15_disp_dat";"1=Están disponibles para áreas internas";1;"Están disponibles para áreas internas"
"48";"p15_disp_dat";"2=Están disponibles para áreas externas";2;"Están disponibles para áreas externas"
"49";"p15_disp_dat";"3=Están disponibles para áreas internas y externas";3;"Están disponibles para áreas internas y externas"
"50";"p15_disp_dat";"4=No están disponibles";4;"No están disponibles"
"51";"p15_disp_dat";"99=No sabe";99;"No sabe"
"52";"p16_lect_dat_stand";"1=Todos los datos se pueden leer en alguno/s de los formatos antes mencionados";1;"Todos los datos se pueden leer en alguno/s de los formatos antes mencionados"
"53";"p16_lect_dat_stand";"2=Algunos de los datos se pueden leer en alguno/s de los formatos antes mencionados";2;"Algunos de los datos se pueden leer en alguno/s de los formatos antes mencionados"
"54";"p16_lect_dat_stand";"3=Ninguno de los datos se pueden leer en alguno de los formatos antes mencionados";3;"Ninguno de los datos se pueden leer en alguno de los formatos antes mencionados"
"55";"p16_lect_dat_stand";"99=No sabe";99;"No sabe"
"56";"p17_api_dat";"1=Si";1;"Si"
"57";"p17_api_dat";"2=No";2;"No"
"58";"p17_api_dat";"99=No sabe";99;"No sabe"
"59";"p18_norm_prot_dat";"1=Si Conozco la de CABA y la de Nación";1;"Si Conozco la de CABA y la de Nación"
"60";"p18_norm_prot_dat";"2=Conozco solo la de CABA";2;"Conozco solo la de CABA"
"61";"p18_norm_prot_dat";"3=Conozco solo la de NACIÓN";3;"Conozco solo la de NACIÓN"
"62";"p18_norm_prot_dat";"4=No conozco ninguna";4;"No conozco ninguna"
"63";"p18_norm_prot_dat";"99=No sabe";99;"No sabe"
"64";"p19_tiemp_dat";"1=Si";1;"Si"
"65";"p19_tiemp_dat";"2=No";2;"No"
"66";"p19_tiemp_dat";"99=No sabe";99;"No sabe"
"67";"p20_clasif_dat_sens";"1=Si";1;"Si"
"68";"p20_clasif_dat_sens";"2=No";2;"No"
"69";"p20_clasif_dat_sens";"99=No sabe";99;"No sabe"
"70";"p21_dat_sens_consent";"1=Si";1;"Si"
"71";"p21_dat_sens_consent";"2=No";2;"No"
"72";"p21_dat_sens_consent";"99=No sabe";99;"No sabe"
"73";"p22_destr_minim_dat";"1=Si";1;"Si"
"74";"p22_destr_minim_dat";"2=No";2;"No"
"75";"p22_destr_minim_dat";"99=No sabe";99;"No sabe"
"76";"p23_espac_disc_prot_dat";"1=Si";1;"Si"
"77";"p23_espac_disc_prot_dat";"2=No";2;"No"
"78";"p23_espac_disc_prot_dat";"99=No sabe";99;"No sabe"
"79";"p24_lineam_pro_dat";"1=Si";1;"Si"
"80";"p24_lineam_pro_dat";"2=No";2;"No"
"81";"p24_lineam_pro_dat";"99=No sabe";99;"No sabe"
"82";"p25_roles_dat";"1=Si";1;"Si"
"83";"p25_roles_dat";"2=No";2;"No"
"84";"p25_roles_dat";"99=No sabe";99;"No sabe"
"85";"p26_polit_uso_dat";"1=Si";1;"Si"
"86";"p26_polit_uso_dat";"2=No";2;"No"
"87";"p26_polit_uso_dat";"99=No sabe";99;"No sabe"
"88";"p27_documen_cic_v_dat";"1=Si";1;"Si"
"89";"p27_documen_cic_v_dat";"2=No";2;"No"
"90";"p27_documen_cic_v_dat";"99=No sabe";99;"No sabe"
"91";"p28_capac_pers_gobern_dat";"1=Si";1;"Si"
"92";"p28_capac_pers_gobern_dat";"2=No";2;"No"
"93";"p28_capac_pers_gobern_dat";"99=No sabe";99;"No sabe"
"94";"p29_report_acc_dat";"1=Si";1;"Si"
"95";"p29_report_acc_dat";"2=No";2;"No"
"96";"p29_report_acc_dat";"99=No sabe";99;"No sabe"
"97";"p30_sist_acc_info";"1=Si";1;"Si"
"98";"p30_sist_acc_info";"2=No";2;"No"
"99";"p30_sist_acc_info";"99=No sabe";99;"No sabe"
"100";"p31_revis_cal_dat";"1=En forma permanente y regular";1;"En forma permanente y regular"
"101";"p31_revis_cal_dat";"2=Algunas veces al mes";2;"Algunas veces al mes"
"102";"p31_revis_cal_dat";"3=No se hacen controles";3;"No se hacen controles"
"103";"p31_revis_cal_dat";"99=No sabe";99;"No sabe"
"104";"p32_metr_cal_dat";"1=Exactitud";1;"Exactitud"
"105";"p32_metr_cal_dat";"2=Completitud";2;"Completitud"
"106";"p32_metr_cal_dat";"3=Csonsitencia";3;"Csonsitencia"
"107";"p32_metr_cal_dat";"4=Actualidad";4;"Actualidad"
"108";"p32_metr_cal_dat";"5=Credibilidad";5;"Credibilidad"
"109";"p32_metr_cal_dat";"6=Pertinencia";6;"Pertinencia"
"110";"p32_metr_cal_dat";"7=Valor agregado";7;"Valor agregado"
"111";"p32_metr_cal_dat";"8=Otros";8;"Otros"
"112";"p32_metr_cal_dat";"9=Ninguno";9;"Ninguno"
"113";"p32_metr_cal_dat";"99=No sabe";99;"No sabe"
"114";"p33_proc_cal_dat";"1=Si";1;"Si"
"115";"p33_proc_cal_dat";"2=No";2;"No"
"116";"p33_proc_cal_dat";"99=No sabe";99;"No sabe"
"117";"p34_per_espec_cal_dat";"1=Si";1;"Si"
"118";"p34_per_espec_cal_dat";"2=No";2;"No"
"119";"p34_per_espec_cal_dat";"99=No sabe";99;"No sabe"
"120";"p35_interc_dat";"1=Con áreas internas de la organización";1;"Con áreas internas de la organización"
"121";"p35_interc_dat";"2=Con usuarios externos a la organización";2;"Con usuarios externos a la organización"
"122";"p35_interc_dat";"3=Con áreas internas y con usuarios externos a la organización";3;"Con áreas internas y con usuarios externos a la organización"
"123";"p35_interc_dat";"4=No se intercambian datos";4;"No se intercambian datos"
"124";"p35_interc_dat";"99=No sabe";99;"No sabe"
"125";"p36_mecan_prop_comp_dat";"1=Si";1;"Si"
"126";"p36_mecan_prop_comp_dat";"2=No";2;"No"
"127";"p36_mecan_prop_comp_dat";"99=No sabe";99;"No sabe"
"128";"p37_pers_espec_reut_dat";"1=Si";1;"Si"
"129";"p37_pers_espec_reut_dat";"2=No";2;"No"
"130";"p37_pers_espec_reut_dat";"99=No sabe";99;"No sabe"
"131";"p38_model_dat";"1=Si";1;"Si"
"132";"p38_model_dat";"2=No";2;"No"
"133";"p38_model_dat";"99=No sabe";99;"No sabe"
"134";"p39_grad_documen_dat";"1=Existen datos pero no hay documentación de descripciones o variables codificadas.";1;"Existen datos pero no hay documentación de descripciones o variables codificadas."
"135";"p39_grad_documen_dat";"2=Existe un diccionario de datos (con variables y categorías definidas).";2;"Existe un diccionario de datos (con variables y categorías definidas)."
"136";"p39_grad_documen_dat";"3=Existe un diccionario de datos, que incluye metadatos y las condiciones en las que se capturaron los datos.";3;"Existe un diccionario de datos, que incluye metadatos y las condiciones en las que se capturaron los datos."
"137";"p39_grad_documen_dat";"4=Existe un diccionario de datos que incluye metadatos y supuestos realizados en la recolección, qué datos no se recolectaron y potenciales sesgos.";4;"Existe un diccionario de datos que incluye metadatos y supuestos realizados en la recolección, qué datos no se recolectaron y potenciales sesgos."
"138";"p39_grad_documen_dat";"5=Nada documentados";5;"Nada documentados"
"139";"p39_grad_documen_dat";"99=No sabe";99;"No sabe"
"140";"p40_documen_mod_dat";"1=Flujos de datos";1;"Flujos de datos"
"141";"p40_documen_mod_dat";"2=Que datos se necesitan";2;"Que datos se necesitan"
"142";"p40_documen_mod_dat";"3=Cómo serán adquiridos";3;"Cómo serán adquiridos"
"143";"p40_documen_mod_dat";"4=Cómo serán gestionados";4;"Cómo serán gestionados"
"144";"p40_documen_mod_dat";"5=Cómo serán almacenados";5;"Cómo serán almacenados"
"145";"p40_documen_mod_dat";"6=Cómo serán distribuidos";6;"Cómo serán distribuidos"
"146";"p40_documen_mod_dat";"7=Cómo serán utilizados";7;"Cómo serán utilizados"
"147";"p40_documen_mod_dat";"8=No tienen documentación";8;"No tienen documentación"
"148";"p40_documen_mod_dat";"99=No sabe";99;"No sabe"
"149";"p41_pers_espec_model_dat";"1=Si";1;"Si"
"150";"p41_pers_espec_model_dat";"2=No";2;"No"
"151";"p41_pers_espec_model_dat";"99=No sabe";99;"No sabe"
